SMTeuroparl	2012test	0	x	4500	The leaders have now been given a new chance and let us hope they seize it.	The leaders benefit aujourd' hui of a new luck and let's let them therefore seize it.		
SMTeuroparl	2012test	1		5000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 is proposing certain changes in the references to paragraphs.		
SMTeuroparl	2012test	2		4250	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that among our allies, there are strong of this tax.		
SMTeuroparl	2012test	3		4500	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30pm		
SMTeuroparl	2012test	4		5000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.		
SMTeuroparl	2012test	5		5000	Neither was there a qualified majority within this House to revert to Article 272.	There was not a majority voting in Parliament to go back to Article 272.		
SMTeuroparl	2012test	6		4667	It increases the power of the big countries at the expense of the small countries.	It has the effect of augmenting the potency of the big countries to the detriment of babies.		
SMTeuroparl	2012test	7		5000	The fishermen are inactive, tired and disappointed.	The fishers are inactive, tired and disappointed.		
SMTeuroparl	2012test	8		5000	The leaders have now been given a new chance and let us hope they seize it.	Leaders now have another chance to let them and therefore take.		
SMTeuroparl	2012test	9		5000	The vote will take place today at 5.30 p.m.	The vote will take place at 17h30.		
SMTeuroparl	2012test	10		4000	There must be a balance as a whole.	The body must be in balance.		
SMTeuroparl	2012test	11		3500	We often pontificate here about being the representatives of the citizens of Europe.	We are proud often here to represent the citizens of Europe.		
SMTeuroparl	2012test	12		4750	(Parliament adopted the legislative resolution)	(The Parliament adopts legislative resolution)		
SMTeuroparl	2012test	13		3750	The leaders have now been given a new chance and let us hope they seize it.	The leaders benefit aujourd ' hui d ' a new chance and therefore let us let them it grab.		
SMTeuroparl	2012test	14		4250	I am one of those Members who attends sittings quite faithfully.	I belong to the Members who are present rather honourably.		
SMTeuroparl	2012test	15		5000	Tunisia	Tunisia		
SMTeuroparl	2012test	16		4333	Neither was there a qualified majority within this House to revert to Article 272.	It did not not more of the qualified majority in this Parliament to return to the Article 272.		
SMTeuroparl	2012test	17		4500	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained, at second reading, a crisis is at the root of this modification of Directive.		
SMTeuroparl	2012test	18		5000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of citizens on bureaucracy.		
SMTeuroparl	2012test	19		5000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 proposes changes to certain paragraphs references.		
SMTeuroparl	2012test	20		4000	We often pontificate here about being the representatives of the citizens of Europe.	We take pride often here to represent the European citizens.		
SMTeuroparl	2012test	21		5000	Thank you, Commissioner.	Thank you, Commissioner.		
SMTeuroparl	2012test	22		4750	We often pontificate here about being the representatives of the citizens of Europe.	Often we are proud of representing Europe's citizens.		
SMTeuroparl	2012test	23		5000	Thank you, Commissioner.	Thank you, Commissioner.		
SMTeuroparl	2012test	24		5000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)		
SMTeuroparl	2012test	25		5000	Let me remind you that our allies include fervent supporters of this tax.	I want to say to you that among our allies, there are fervent of this tax.		
SMTeuroparl	2012test	26		4750	Let me remind you that our allies include fervent supporters of this tax.	I insist on reminding you that among our allies, there are devotees of this tax.		
SMTeuroparl	2012test	27		4500	Then perhaps we could have avoided a catastrophe.	Perhaps we should have been able to prevent a disaster.		
SMTeuroparl	2012test	28		4750	Selective aid, such as market support and a grass subsidy, are essential.	Specific aid as the support of the market or the premium on grass are essential.		
SMTeuroparl	2012test	29		5000	It increases the power of the big countries at the expense of the small countries.	It has increased the power of the large countries to the detriment of small.		
SMTeuroparl	2012test	30		4500	That provision could open the door wide to arbitrariness.	This point of the rules of procedure opens the door to the arbitrary.		
SMTeuroparl	2012test	31		4250	Maij-Weggen report (A5-0323/2000)	Relation Maij-Weggen (A5-0323/2000)		
SMTeuroparl	2012test	32		4750	Thank you, Commissioner.	Thank-You, Mister the Commissioner.		
SMTeuroparl	2012test	33		4250	We often pontificate here about being the representatives of the citizens of Europe.	We we take pride often here of representing the european citizens.		
SMTeuroparl	2012test	34		5000	It increases the power of the big countries at the expense of the small countries.	It has in fact increased the power of large countries to the detriment of small.		
SMTeuroparl	2012test	35		5000	Then perhaps we could have avoided a catastrophe.	Perhaps then we would have avoided a catastrophe.		
SMTeuroparl	2012test	36		4500	There must be a balance as a whole.	Group must be in equilibrium.		
SMTeuroparl	2012test	37		5000	Neither was there a qualified majority within this House to revert to Article 272.	There was not either qualified majority within this Parliament to come back to the article 272.		
SMTeuroparl	2012test	38		5000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment No 7 proposes certain changes in the references to paragraphs.		
SMTeuroparl	2012test	39		5000	Maij-Weggen report (A5-0323/2000)	Maij-Weggen report (A5-0323 / 2000)		
SMTeuroparl	2012test	40		4250	Mr President, I rise in defence of the workers in the industry.	Mr President, I wish to take the protection of workers of this sector.		
SMTeuroparl	2012test	41		5000	Thank you, Commissioner.	Thank you, Commissioner.		
SMTeuroparl	2012test	42		5000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment 7 proposes certain modifications in the references to the paragraphs.		
SMTeuroparl	2012test	43		4000	The leaders have now been given a new chance and let us hope they seize it.	The leaders benefit today of a new chance and thus let the matter.		
SMTeuroparl	2012test	44		4500	I am one of those Members who attends sittings quite faithfully.	I am one of the Members who are rather honourably here.		
SMTeuroparl	2012test	45		4750	The vote will take place today at 5.30 p.m.	The vote will take place with 17h30.		
SMTeuroparl	2012test	46		4800	It increases the power of the big countries at the expense of the small countries.	This has the effect of increasing the power of the large countries at the expense of small.		
SMTeuroparl	2012test	47		4250	The leaders have now been given a new chance and let us hope they seize it.	The leaders profit aujourd' hui of a new luck and let us leave them therefore to seize it.		
SMTeuroparl	2012test	48		5000	Thank you, Commissioner.	Thank you, Commissioner.		
SMTeuroparl	2012test	49		5000	(Parliament adopted the legislative resolution)	(The Parliament adopts the legislative resolution)		
SMTeuroparl	2012test	50		5000	Tunisia	Tunisia		
SMTeuroparl	2012test	51		5000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summarized in a few words: the power of citizens on bureaucracy.		
SMTeuroparl	2012test	52		5000	Neither was there a qualified majority within this House to revert to Article 272.	There was no more qualified majority voting in this Parliament to come back to Article 272.		
SMTeuroparl	2012test	53		4750	Neither was there a qualified majority within this House to revert to Article 272.	It does not was not no longer a majority voting in this Parliament to return to the article 272.		
SMTeuroparl	2012test	54		4250	The leaders have now been given a new chance and let us hope they seize it.	Given the leaders today a new chance and thus let the approach.		
SMTeuroparl	2012test	55		4750	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I l ' have already explained in second reading, a crisis is at the root of this modification of directive.		
SMTeuroparl	2012test	56		5000	Van Orden Report (A5-0241/2000)	Van Orden report (A5-0241 / 2000)		
SMTeuroparl	2012test	57		4250	Then perhaps we could have avoided a catastrophe.	We would perhaps then able prevent a disaster.		
SMTeuroparl	2012test	58		5000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support Latvia on the issue of the integration of the Russian population.		
SMTeuroparl	2012test	59		5000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)		
SMTeuroparl	2012test	60		4500	Mr President, I rise in defence of the workers in the industry.	Mr President, I want to take the protection of workers.		
SMTeuroparl	2012test	61		4500	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue supporting Latvia on the question of the Russian population.		
SMTeuroparl	2012test	62		3000	I am one of those Members who attends sittings quite faithfully.	I am part of Members who are not properly present.		
SMTeuroparl	2012test	63		5000	Maij-Weggen report (A5-0323/2000)	Maij-Weggen report (A5-0323 / 2000)		
SMTeuroparl	2012test	64		4750	Let me remind you that our allies include fervent supporters of this tax.	I would like to remind you that our allies, there are ardent supporters of this tax.		
SMTeuroparl	2012test	65		4000	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We preserve unanimity in the Council and thus a latent incapacity to act.		
SMTeuroparl	2012test	66		4800	It increases the power of the big countries at the expense of the small countries.	This has the effect of increasing the power of the large countries at the expense of small.		
SMTeuroparl	2012test	67		4800	It increases the power of the big countries at the expense of the small countries.	This has the effect of increasing the power of the large countries at the expense of small.		
SMTeuroparl	2012test	68		4500	Van Orden Report (A5-0241/2000)	Van Orden report In particular A5-0241 -- 2000)		
SMTeuroparl	2012test	69		5000	It is our job to continue to support Latvia with the integration of the Russian population.	It is of our duty to continue supporting the Latvia on the question of the incorporation of the Russian population.		
SMTeuroparl	2012test	70		5000	Van Orden Report (A5-0241/2000)	Mr Van Orden report (A5-0241 / 2000)		
SMTeuroparl	2012test	71		5000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr. President, the Cashman report/ratio can summarize himself in a few words: capacity of the citizens on the bureaucracy.		
SMTeuroparl	2012test	72		5000	Amendment No 7 proposes certain changes in the references to paragraphs.	Amendment 7 proposes certain modifications in the references to the paragraphs.		
SMTeuroparl	2012test	73		4750	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users are the losers, employees, and European competitiveness and growth régresseront.		
SMTeuroparl	2012test	74		5000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support the Latvia on the question of the integration of the Russian population.		
SMTeuroparl	2012test	75		5000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)		
SMTeuroparl	2012test	76		5000	That provision could open the door wide to arbitrariness.	This regulation point opens the door to the arbitrary one.		
SMTeuroparl	2012test	77		5000	Tunisia	Tunisia		
SMTeuroparl	2012test	78		4800	The fishermen are inactive, tired and disappointed.	Fishermen are inactive, tired and disappointment.		
SMTeuroparl	2012test	79		4600	The European Union has got to do something and do it quickly.	It is that the European Union is involved and that it do so quickly.		
SMTeuroparl	2012test	80		3000	I am one of those Members who attends sittings quite faithfully.	I am part of Members who are not properly present.		
SMTeuroparl	2012test	81		4750	It increases the power of the big countries at the expense of the small countries.	Has the effect of increasing the power of the large at the expense of smaller countries.		
SMTeuroparl	2012test	82		4571	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and even less transferable.		
SMTeuroparl	2012test	83		5000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.		
SMTeuroparl	2012test	84		4714	The standards are scarcely comparable, let alone transferable.	The standards are hardly comparable and still less transferable.		
SMTeuroparl	2012test	85		5000	Tunisia	Tunisia		
SMTeuroparl	2012test	86		5000	Maij-Weggen report (A5-0323/2000)	Maij-Weggen report (A5-0323 / 2000)		
SMTeuroparl	2012test	87		5000	Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272.		
SMTeuroparl	2012test	88		4833	Amendment No 7 proposes certain changes in the references to paragraphs.	The amendment 7 proposes some changes in the references to the paragraphs.		
SMTeuroparl	2012test	89		5000	(Parliament adopted the legislative resolution)	(Parliament adopted the legislative resolution)		
SMTeuroparl	2012test	90		5000	Van Orden Report (A5-0241/2000)	Report Van Orden (A5-0241 / 2000)		
SMTeuroparl	2012test	91		4000	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to make the defence of workers in this sector.		
SMTeuroparl	2012test	92		3500	That provision could open the door wide to arbitrariness.	This point of the payment opens the door with the arbitrary one.		
SMTeuroparl	2012test	93		5000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of citizens on the bureaucracy.		
SMTeuroparl	2012test	94		4500	Consumers will lose out, employees will lose out, Europe will lose competitive strength and growth.	The users will be the losers, with the employees, and European competitiveness and growth will regress.		
SMTeuroparl	2012test	95		4750	It increases the power of the big countries at the expense of the small countries.	This has the effect of increasing the power of large countries at the expense of smaller.		
SMTeuroparl	2012test	96		5000	Neither was there a qualified majority within this House to revert to Article 272.	There was no qualified majority in this Parliament to go back to Article 272.		
SMTeuroparl	2012test	97		4250	I am one of those Members who attends sittings quite faithfully.	I am one of those Members who are rather honourably here.		
SMTeuroparl	2012test	98		5000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support Latvia on the issue of the integration of the Russian population.		
SMTeuroparl	2012test	99		5000	The leaders have now been given a new chance and let us hope they seize it.	The leaders have today of a new opportunity and let them therefore seized.		
SMTeuroparl	2012test	100		4500	Selective aid, such as market support and a grass subsidy, are essential.	Specific assistances like the support of the market or the premium with grass are essential.		
SMTeuroparl	2012test	101		3750	I am one of those Members who attends sittings quite faithfully.	I am one of the Members of Parliament who are rather present.		
SMTeuroparl	2012test	102		5000	The fishermen are inactive, tired and disappointed.	The fishermen are inactive, tired and disappointed.		
SMTeuroparl	2012test	103		4667	There must be a balance as a whole.	The whole must be in balance.		
SMTeuroparl	2012test	104		4667	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to take the defence of workers in this sector.		
SMTeuroparl	2012test	105		4000	Then perhaps we could have avoided a catastrophe.	Perhaps we would then have to avoid a disaster.		
SMTeuroparl	2012test	106		4250	The European Union has got to do something and do it quickly.	It suits that the European Union implies itself and that she do it quickly.		
SMTeuroparl	2012test	107		5000	Tunisia	Tunisia		
SMTeuroparl	2012test	108		4667	There must be a balance as a whole.	The whole must be in balance.		
SMTeuroparl	2012test	109		4500	Selective aid, such as market support and a grass subsidy, are essential.	The occasional aid as the support of the market or the premium to grass is essential.		
SMTeuroparl	2012test	110		4750	Mr President, I rise in defence of the workers in the industry.	Mr President, I would like to defend workers in the sector.		
SMTeuroparl	2012test	111		4429	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m.		
SMTeuroparl	2012test	112		5000	Tunisia	Tunisia		
SMTeuroparl	2012test	113		4200	That provision could open the door wide to arbitrariness.	This point of the regulation opens the door to arbitrariness.		
SMTeuroparl	2012test	114		4750	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I already explained in second reading, a crisis is at the base of this modification of directive.		
SMTeuroparl	2012test	115		5000	Thank you, Commissioner.	Thank you, Commissioner.		
SMTeuroparl	2012test	116		4750	The European Union has got to do something and do it quickly.	It is right that the European Union is involved, and for this to be done quickly.		
SMTeuroparl	2012test	117		4429	The vote will take place today at 5.30 p.m.	The vote will take place at 5.30 p.m.		
SMTeuroparl	2012test	118		4250	Unanimous decisions, and hence an inherent incapacity to act, remain largely the norm in the Council.	We maintain the unanimity in the Council and therefore a latent capacity to act.		
SMTeuroparl	2012test	119		3500	As I already explained during second reading, there is a crisis underlying this directive amendment.	As I have already explained in second reading, is at the root of this directive.		
SMTeuroparl	2012test	120		4500	Mr President, I rise in defence of the workers in the industry.	Mr President, I hold to the defence of workers in this sector.		
SMTeuroparl	2012test	121		5000	It is our job to continue to support Latvia with the integration of the Russian population.	It is our duty to continue to support the Latvia on the issue of the integration of the Russian population.		
SMTeuroparl	2012test	122		3000	Maij-Weggen report (A5-0323/2000)	Maij-Weggen report (5 / 2000)		
SMTeuroparl	2012test	123		4500	Thank you, Commissioner.	Thank you, Mister the Commissioner.		
SMTeuroparl	2012test	124		5000	Van Orden Report (A5-0241/2000)	Van Orden report (A5-0241 / 2000)		
SMTeuroparl	2012test	125		5000	Mr President, the Cashman report can be summarised in four words: citizens' power over bureaucracy.	Mr President, the Cashman report can be summed up in a few words: the power of the citizens on bureaucracy.		
SMTeuroparl	2012test	126		4000	Unfortunately, others separate on the basis of accumulated hatred.	On others who are unfortunately in the reason of a vengeance gained.		
